Sample,Sequence,RPKM
SI072_120m,SaanichInlet_120m_11_259,0.0554208
SI072_120m,SaanichInlet_120m_11_26,0
SI072_120m,SaanichInlet_120m_11_260,0.297076
SI072_120m,SaanichInlet_120m_11_261,0.490735
SI072_120m,SaanichInlet_120m_11_262,0.487382
SI072_120m,SaanichInlet_120m_11_263,0.081676
SI072_120m,SaanichInlet_120m_11_264,0.196796
SI072_120m,SaanichInlet_120m_11_265,3.41231
SI072_120m,SaanichInlet_120m_11_266,0.138136
SI072_120m,SaanichInlet_120m_11_267,0.188044
SI072_120m,SaanichInlet_120m_11_268,0.245631
SI072_120m,SaanichInlet_120m_11_269,0.41668
SI072_120m,SaanichInlet_120m_11_27,0.231948
SI072_120m,SaanichInlet_120m_11_270,0.357161
SI072_120m,SaanichInlet_120m_11_271,3.29195
SI072_120m,SaanichInlet_120m_11_272,0.160566
SI072_120m,SaanichInlet_120m_11_273,0.645664
SI072_120m,SaanichInlet_120m_11_274,0.489888
SI072_120m,SaanichInlet_120m_11_275,0.404034
SI072_120m,SaanichInlet_120m_11_276,0.212627
SI072_120m,SaanichInlet_120m_11_277,0.50503
SI072_120m,SaanichInlet_120m_11_278,0.183976
SI072_120m,SaanichInlet_120m_11_279,0.323254
SI072_120m,SaanichInlet_120m_11_28,0.700631
SI072_120m,SaanichInlet_120m_11_280,0.288368
SI072_120m,SaanichInlet_120m_11_281,0.151514
SI072_120m,SaanichInlet_120m_11_282,0.182192
SI072_120m,SaanichInlet_120m_11_283,0.318412
SI072_120m,SaanichInlet_120m_11_284,0.330722
SI072_120m,SaanichInlet_120m_11_285,0.294009
SI072_120m,SaanichInlet_120m_11_286,0.353658
SI072_120m,SaanichInlet_120m_11_287,0.1538
SI072_120m,SaanichInlet_120m_11_288,0.790599
SI072_120m,SaanichInlet_120m_11_289,0.491435
SI072_120m,SaanichInlet_120m_11_29,0.179702
SI072_120m,SaanichInlet_120m_11_290,0.343959
SI072_120m,SaanichInlet_120m_11_291,0.098277
SI072_120m,SaanichInlet_120m_11_292,0.489338
SI072_120m,SaanichInlet_120m_11_293,0.669059
SI072_120m,SaanichInlet_120m_11_294,0.185272
SI072_120m,SaanichInlet_120m_11_295,0.227013
SI072_120m,SaanichInlet_120m_11_296,0.329903
SI072_120m,SaanichInlet_120m_11_297,0.082646
SI072_120m,SaanichInlet_120m_11_298,0.188592
